Title,Author,Downloads,Book_URL
Catriona,Robert Louis Stevenson,81029 downloads,https://www.gutenberg.org/ebooks/589
Blow The Man Down: A Romance Of The Coast,Holman Day,80659 downloads,https://www.gutenberg.org/ebooks/24793
A Study in Scarlet,Arthur Conan Doyle,80301 downloads,https://www.gutenberg.org/ebooks/244
Roméo et Juliette (French),William Shakespeare,78937 downloads,https://www.gutenberg.org/ebooks/18143
Twenty years after,Alexandre Dumas and Auguste Maquet,78710 downloads,https://www.gutenberg.org/ebooks/1259
The Hound of the Baskervilles,Arthur Conan Doyle,77693 downloads,https://www.gutenberg.org/ebooks/2852
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,76600 downloads,https://www.gutenberg.org/ebooks/2148
I am a woman,Ann Bannon,74584 downloads,https://www.gutenberg.org/ebooks/76178
The innocence of Father Brown,G. K. Chesterton,74408 downloads,https://www.gutenberg.org/ebooks/204
Life on the Mississippi,Mark Twain,74028 downloads,https://www.gutenberg.org/ebooks/245
Sense and Sensibility,Jane Austen,73837 downloads,https://www.gutenberg.org/ebooks/161
Erotica Romana,Johann Wolfgang von Goethe,73815 downloads,https://www.gutenberg.org/ebooks/7889
The Turn of the Screw,Henry James,73169 downloads,https://www.gutenberg.org/ebooks/209
A pair of blue eyes,Thomas Hardy,72900 downloads,https://www.gutenberg.org/ebooks/224
The Home Book of Verse — Volume 2,Burton Egbert Stevenson,72898 downloads,https://www.gutenberg.org/ebooks/2620
That Which Hath Wings: A Novel of the Day,Richard Dehan,72755 downloads,https://www.gutenberg.org/ebooks/51428
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,72706 downloads,https://www.gutenberg.org/ebooks/2147
Love and Freindship [sic],Jane Austen,72691 downloads,https://www.gutenberg.org/ebooks/1212
The wisdom of Father Brown,G. K. Chesterton,72660 downloads,https://www.gutenberg.org/ebooks/223
The murder of Roger Ackroyd,Agatha Christie,72444 downloads,https://www.gutenberg.org/ebooks/69087
The Pirate,Walter Scott,72308 downloads,https://www.gutenberg.org/ebooks/42389
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,72308 downloads,https://www.gutenberg.org/ebooks/23
Lorna Doone: A Romance of Exmoor,R. D. Blackmore,72265 downloads,https://www.gutenberg.org/ebooks/17460
Only a girl's love,Charles Garvice,72093 downloads,https://www.gutenberg.org/ebooks/53416
The Return of Sherlock Holmes,Arthur Conan Doyle,71932 downloads,https://www.gutenberg.org/ebooks/108
Complete Short Works of George Meredith,George Meredith,71901 downloads,https://www.gutenberg.org/ebooks/4499
As You Like It,William Shakespeare,71835 downloads,https://www.gutenberg.org/ebooks/1523
Around the World in Eighty Days,Jules Verne,71717 downloads,https://www.gutenberg.org/ebooks/103
The Sign of the Four,Arthur Conan Doyle,71667 downloads,https://www.gutenberg.org/ebooks/2097
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,71635 downloads,https://www.gutenberg.org/ebooks/834
One of the Six Hundred: A Novel,James Grant,71623 downloads,https://www.gutenberg.org/ebooks/55179
Camille (La Dame aux Camilias),Alexandre Dumas,71553 downloads,https://www.gutenberg.org/ebooks/1608
Sonnets from the Portuguese,Elizabeth Barrett Browning,71551 downloads,https://www.gutenberg.org/ebooks/2002
The Red Lily — Complete,Anatole France,71530 downloads,https://www.gutenberg.org/ebooks/3922
What Will People Say? A Novel,Rupert Hughes,71530 downloads,https://www.gutenberg.org/ebooks/38311
The Phantom of the Opera,Gaston Leroux,71527 downloads,https://www.gutenberg.org/ebooks/175
Hypnerotomachia: The Strife of Loue in a Dreame,Francesco Colonna,71403 downloads,https://www.gutenberg.org/ebooks/18459
The Mysterious Affair at Styles,Agatha Christie,71365 downloads,https://www.gutenberg.org/ebooks/863
Undine,Freiherr de Friedrich Heinrich Karl La Motte-Fouqué,71098 downloads,https://www.gutenberg.org/ebooks/2825
