Title,Author,Genre,Downloads,Book_URL
Lorna Doone: A Romance of Exmoor,R. D. Blackmore,Fiction,72265,https://www.gutenberg.org/ebooks/17460
Only a girl's love,Charles Garvice,Fiction,72093,https://www.gutenberg.org/ebooks/53416
The Return of Sherlock Holmes,Arthur Conan Doyle,Fiction,71932,https://www.gutenberg.org/ebooks/108
Complete Short Works of George Meredith,George Meredith,Fiction,71901,https://www.gutenberg.org/ebooks/4499
Around the World in Eighty Days,Jules Verne,Fiction,71717,https://www.gutenberg.org/ebooks/103
The Sign of the Four,Arthur Conan Doyle,Fiction,71667,https://www.gutenberg.org/ebooks/2097
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,Fiction,71635,https://www.gutenberg.org/ebooks/834
One of the Six Hundred: A Novel,James Grant,Fiction,71623,https://www.gutenberg.org/ebooks/55179
Camille (La Dame aux Camilias),Alexandre Dumas,Fiction,71553,https://www.gutenberg.org/ebooks/1608
The Red Lily — Complete,Anatole France,Fiction,71530,https://www.gutenberg.org/ebooks/3922
What Will People Say? A Novel,Rupert Hughes,Fiction,71530,https://www.gutenberg.org/ebooks/38311
The Phantom of the Opera,Gaston Leroux,Fiction,71527,https://www.gutenberg.org/ebooks/175
Hypnerotomachia: The Strife of Loue in a Dreame,Francesco Colonna,Fiction,71403,https://www.gutenberg.org/ebooks/18459
The Mysterious Affair at Styles,Agatha Christie,Fiction,71365,https://www.gutenberg.org/ebooks/863
Undine,Freiherr de Friedrich Heinrich Karl La Motte-Fouqué,Fiction,71098,https://www.gutenberg.org/ebooks/2825
Linnet: A Romance,Grant Allen,Fiction,71055,https://www.gutenberg.org/ebooks/48296
The Woman in White,Wilkie Collins,Fiction,71020,https://www.gutenberg.org/ebooks/583
The Passionate Elopement,Compton MacKenzie,Fiction,70898,https://www.gutenberg.org/ebooks/38177
The Treasure of Pearls: A Romance of Adventures in California,Gustave Aimard,Fiction,70831,https://www.gutenberg.org/ebooks/46276
One Woman: Being the Second Part of a Romance of Sussex,Alfred Ollivant,Fiction,70463,https://www.gutenberg.org/ebooks/57641
The Landloper: The Romance of a Man on Foot,Holman Day,Fiction,70462,https://www.gutenberg.org/ebooks/4712
Cynthia's Chauffeur,Louis Tracy,Fiction,70422,https://www.gutenberg.org/ebooks/31472
A Romance of Billy-Goat Hill,Alice Caldwell Hegan Rice,Fiction,70419,https://www.gutenberg.org/ebooks/6635
Cameron of Lochiel,Philippe Aubert de Gaspé,Fiction,70410,https://www.gutenberg.org/ebooks/53154
"The Hero of the People: A Historical Romance of Love, Liberty and Loyalty",Alexandre Dumas,Fiction,70402,https://www.gutenberg.org/ebooks/42681
The call of Cthulhu,H. P. Lovecraft,Fiction,70401,https://www.gutenberg.org/ebooks/68283
Moods,Louisa May Alcott,Fiction,70383,https://www.gutenberg.org/ebooks/28203
The Silent Barrier,Louis Tracy,Fiction,70377,https://www.gutenberg.org/ebooks/31635
Forest Days: A Romance of Old Times,G. P. R. James,Fiction,70324,https://www.gutenberg.org/ebooks/49987
The Green Mouse,Robert W. Chambers,Fiction,70317,https://www.gutenberg.org/ebooks/10441
Victorian Short Stories: Stories of Courtship,Unknown / Various,Fiction,70186,https://www.gutenberg.org/ebooks/15381
On the Cross: A Romance of the Passion Play at Oberammergau,Wilhelmine von Hillern,Fiction,70147,https://www.gutenberg.org/ebooks/36725
Aus dem Leben eines Taugenichts: Novelle (German),Freiherr von Joseph Eichendorff,Fiction,69963,https://www.gutenberg.org/ebooks/35312
The Moonstone,Wilkie Collins,Fiction,69917,https://www.gutenberg.org/ebooks/155
Doctor Cupid: A Novel,Rhoda Broughton,Fiction,69896,https://www.gutenberg.org/ebooks/35548
The Prairie Wife,Arthur Stringer,Fiction,69842,https://www.gutenberg.org/ebooks/18875
The Boy with Wings,Berta Ruck,Fiction,69784,https://www.gutenberg.org/ebooks/36223
"Dr. Mabuse, der Spieler :  Roman (German)",Norbert Jacques,Fiction,69730,https://www.gutenberg.org/ebooks/50285
The Gay Adventure: A Romance,Richard Bird,Fiction,69602,https://www.gutenberg.org/ebooks/33823
El crimen y el castigo (Spanish),Fyodor Dostoyevsky,Fiction,69337,https://www.gutenberg.org/ebooks/61851
"Dainty's Cruel Rivals; Or, The Fatal Birthday",Mrs. Alex. McVeigh Miller,Fiction,69126,https://www.gutenberg.org/ebooks/31257
Adventures of Sherlock Holmes,Arthur Conan Doyle,Fiction,68916,https://www.gutenberg.org/ebooks/48320
Trial by water,Sewell Peaslee Wright,Fiction,68546,https://www.gutenberg.org/ebooks/76668
Twenty-Five Ghost Stories,Unknown / Various,Fiction,68249,https://www.gutenberg.org/ebooks/53419
The secret of Father Brown,G. K. Chesterton,Fiction,68107,https://www.gutenberg.org/ebooks/70175
Poirot Investigates,Agatha Christie,Fiction,68034,https://www.gutenberg.org/ebooks/61262
The Murder on the Links,Agatha Christie,Fiction,67903,https://www.gutenberg.org/ebooks/58866
The Valley of Fear,Arthur Conan Doyle,Fiction,67883,https://www.gutenberg.org/ebooks/3289
"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,Fiction,67633,https://www.gutenberg.org/ebooks/84
The case-book of Sherlock Holmes,Arthur Conan Doyle,Fiction,67626,https://www.gutenberg.org/ebooks/69700
The Secret Adversary,Agatha Christie,Fiction,67561,https://www.gutenberg.org/ebooks/1155
Robert Orange,John Oliver Hobbes,Fiction,67552,https://www.gutenberg.org/ebooks/27997
"The Rover Boys on the Farm; or, Last Days at Putnam Hall",Edward Stratemeyer,Fiction,67336,https://www.gutenberg.org/ebooks/22163
That Girl Montana,Marah Ellis Ryan,Fiction,67301,https://www.gutenberg.org/ebooks/27475
A Journey to the Centre of the Earth,Jules Verne,Fiction,67257,https://www.gutenberg.org/ebooks/18857
At the mountains of madness,H. P. Lovecraft,Fiction,67204,https://www.gutenberg.org/ebooks/70652
His last bow :  Some later reminiscences of Sherlock Holmes,Arthur Conan Doyle,Fiction,67160,https://www.gutenberg.org/ebooks/2350
The Crack of Doom,Robert Cromie,Fiction,67077,https://www.gutenberg.org/ebooks/26563
The Secret Agent: A Simple Tale,Joseph Conrad,Fiction,67030,https://www.gutenberg.org/ebooks/974
The Thirty-Nine Steps,John Buchan,Fiction,66965,https://www.gutenberg.org/ebooks/558
Lady Audley's Secret,M. E. Braddon,Fiction,66939,https://www.gutenberg.org/ebooks/8954
The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,Unknown / Various,Fiction,66636,https://www.gutenberg.org/ebooks/2038
The Man in the Brown Suit,Agatha Christie,Fiction,66542,https://www.gutenberg.org/ebooks/61168
Terminal Compromise,Winn Schwartau,Fiction,66320,https://www.gutenberg.org/ebooks/79
The Riddle of the Sands,Erskine Childers,Fiction,66221,https://www.gutenberg.org/ebooks/2360
The House on the Borderland,William Hope Hodgson,Fiction,66169,https://www.gutenberg.org/ebooks/10002
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Fiction,66156,https://www.gutenberg.org/ebooks/2527
The Big Four,Agatha Christie,Fiction,66140,https://www.gutenberg.org/ebooks/70114
Mr. Standfast,John Buchan,Fiction,66098,https://www.gutenberg.org/ebooks/560
The Cask of Amontillado,Edgar Allan Poe,Fiction,66039,https://www.gutenberg.org/ebooks/1063
The Great God Pan,Arthur Machen,Fiction,66036,https://www.gutenberg.org/ebooks/389
"Arsène Lupin, gentleman-cambrioleur (French)",Maurice Leblanc,Fiction,65989,https://www.gutenberg.org/ebooks/32854
The Mystery of the Yellow Room,Gaston Leroux,Fiction,65968,https://www.gutenberg.org/ebooks/1685
The mystery of the Blue Train,Agatha Christie,Fiction,65933,https://www.gutenberg.org/ebooks/72824
The Seven Dials mystery,Agatha Christie,Fiction,65919,https://www.gutenberg.org/ebooks/75288
The Dunwich horror,H. P. Lovecraft,Fiction,65722,https://www.gutenberg.org/ebooks/50133
"The Mysteries of London, v. 4/4",George W. M. Reynolds,Fiction,65675,https://www.gutenberg.org/ebooks/51649
Whose Body? A Lord Peter Wimsey Novel,Dorothy L. Sayers,Fiction,65615,https://www.gutenberg.org/ebooks/58820
Paul Clifford — Complete,Baron Edward Bulwer Lytton Lytton,Fiction,65553,https://www.gutenberg.org/ebooks/7735
The Red House Mystery,A. A. Milne,Fiction,65516,https://www.gutenberg.org/ebooks/1872
The Samurai Strategy,Thomas Hoover,Fiction,65432,https://www.gutenberg.org/ebooks/34323
Unnatural death,Dorothy L. Sayers,Fiction,65301,https://www.gutenberg.org/ebooks/70008
The problem of Cell 13,Jacques Futrelle,Fiction,65247,https://www.gutenberg.org/ebooks/57669
The Insidious Dr. Fu Manchu,Sax Rohmer,Fiction,65217,https://www.gutenberg.org/ebooks/173
"Friday, the Thirteenth: A Novel",Thomas William Lawson,Fiction,65212,https://www.gutenberg.org/ebooks/12345
"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 20",Robert Louis Stevenson,Fiction,65068,https://www.gutenberg.org/ebooks/30849
Space Station 1,Frank Belknap Long,Fiction,65027,https://www.gutenberg.org/ebooks/50290
"Love-at-arms :  being a narrative excerpted from the chronicles of Urbino, during the dominion of the high and mighty Messer Guidobaldo da Montefeltro",Rafael Sabatini,Fiction,64883,https://www.gutenberg.org/ebooks/3530
The Grand Babylon Hôtel,Arnold Bennett,Fiction,64852,https://www.gutenberg.org/ebooks/2813
The Hand in the Dark,Arthur J. Rees,Fiction,64759,https://www.gutenberg.org/ebooks/20546
The Zeppelin's Passenger,E. Phillips Oppenheim,Fiction,64729,https://www.gutenberg.org/ebooks/1931
The Air Pirate,Guy Thorne,Fiction,64687,https://www.gutenberg.org/ebooks/40361
The Real Adventure,Henry Kitchell Webster,Fiction,64644,https://www.gutenberg.org/ebooks/15384
"Changeling, and Other Stories",Donn Byrne,Fiction,64630,https://www.gutenberg.org/ebooks/59892
Life Blood,Thomas Hoover,Fiction,64590,https://www.gutenberg.org/ebooks/34318
Children of the Whirlwind,Leroy Scott,Fiction,64571,https://www.gutenberg.org/ebooks/3321
The Passionate Friends,H. G. Wells,Fiction,64560,https://www.gutenberg.org/ebooks/30340
"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House",Hildegard G. Frey,Fiction,64557,https://www.gutenberg.org/ebooks/38983
The Secret of the Night,Gaston Leroux,Fiction,64546,https://www.gutenberg.org/ebooks/1686
The Daughter of Anderson Crow,George Barr McCutcheon,Fiction,64438,https://www.gutenberg.org/ebooks/14818
Peter the Brazen: A Mystery Story of Modern China,George F. Worts,Fiction,64364,https://www.gutenberg.org/ebooks/28780
A Midsummer Night's Dream,William Shakespeare,Fiction,64343,https://www.gutenberg.org/ebooks/1514
The Shunned House,H. P. Lovecraft,Fiction,64312,https://www.gutenberg.org/ebooks/31469
The History of Sir Richard Calmady: A Romance,Lucas Malet,Fiction,64274,https://www.gutenberg.org/ebooks/23784
Time Crime,H. Beam Piper,Fiction,64215,https://www.gutenberg.org/ebooks/18151
The Yellow Crayon,E. Phillips Oppenheim,Fiction,64205,https://www.gutenberg.org/ebooks/1849
Maman Léo (French),Paul Féval,Fiction,64166,https://www.gutenberg.org/ebooks/19919
"Le comte de Monte-Cristo, Tome I (French)",Alexandre Dumas and Auguste Maquet,Fiction,64165,https://www.gutenberg.org/ebooks/17989
Lone Star Planet,John J. McGuire and H. Beam Piper,Fiction,64105,https://www.gutenberg.org/ebooks/20121
A Case in Camera,Oliver Onions,Fiction,63971,https://www.gutenberg.org/ebooks/43063
Occasion ... for Disaster,Randall Garrett and Laurence M. Janifer,Fiction,63950,https://www.gutenberg.org/ebooks/30434
Les trois mousquetaires (French),Alexandre Dumas and Auguste Maquet,Fiction,63280,https://www.gutenberg.org/ebooks/13951
The Plymouth Express Affair,Agatha Christie,Fiction,63219,https://www.gutenberg.org/ebooks/66446
The Hunter's Lodge Case,Agatha Christie,Fiction,63218,https://www.gutenberg.org/ebooks/67160
The Missing Will,Agatha Christie,Fiction,62994,https://www.gutenberg.org/ebooks/67173
The Big Fix,George O. Smith,Fiction,62725,https://www.gutenberg.org/ebooks/23599
The Ambulance Made Two Trips,Murray Leinster,Fiction,62668,https://www.gutenberg.org/ebooks/24149
Henrietta Temple: A Love Story,Earl of Beaconsfield Benjamin Disraeli,Fiction,62665,https://www.gutenberg.org/ebooks/19771
Gulliver's Travels into Several Remote Regions of the World,Jonathan Swift,Fiction,61717,https://www.gutenberg.org/ebooks/17157
Ann Veronica: A Modern Love Story,H. G. Wells,Fiction,61281,https://www.gutenberg.org/ebooks/524
L'île mystérieuse (French),Jules Verne,Fiction,60668,https://www.gutenberg.org/ebooks/14287
Voyage au Centre de la Terre (French),Jules Verne,Fiction,60593,https://www.gutenberg.org/ebooks/4791
"The Adventures of Tom Sawyer, Complete",Mark Twain,Fiction,60292,https://www.gutenberg.org/ebooks/74
Torchy and Vee,Sewell Ford,Fiction,59155,https://www.gutenberg.org/ebooks/20628
Monte-Cristo's Daughter,Edmund Flagg,Fiction,58496,https://www.gutenberg.org/ebooks/23184
The Car of Destiny,C. N. Williamson and A. M. Williamson,Fiction,56709,https://www.gutenberg.org/ebooks/23500
Venus im Pelz (German),Ritter von Leopold Sacher-Masoch,Fiction,55984,https://www.gutenberg.org/ebooks/56156
Desperate Remedies,Thomas Hardy,Fiction,55416,https://www.gutenberg.org/ebooks/3044
The Girl Philippa,Robert W. Chambers,Fiction,55384,https://www.gutenberg.org/ebooks/52404
The Amazing Marriage — Complete,George Meredith,Fiction,55358,https://www.gutenberg.org/ebooks/4488
The Kama Sutra of Vatsyayana,Vatsyayana,Fiction,55289,https://www.gutenberg.org/ebooks/27827
"Mademoiselle de Maupin, Volume 1 (of 2)",Théophile Gautier,Fiction,55257,https://www.gutenberg.org/ebooks/48893
"The Knights of the Cross, or, Krzyzacy: Historical Romance",Henryk Sienkiewicz,Fiction,55251,https://www.gutenberg.org/ebooks/9473
The Heather-Moon,C. N. Williamson and A. M. Williamson,Fiction,55235,https://www.gutenberg.org/ebooks/19742
Two on a Tower,Thomas Hardy,Fiction,55189,https://www.gutenberg.org/ebooks/3146
The Wonderful Wizard of Oz,L. Frank Baum,Fiction,55119,https://www.gutenberg.org/ebooks/55
Set in Silver,C. N. Williamson and A. M. Williamson,Fiction,55118,https://www.gutenberg.org/ebooks/19412
The Torrents of Spring,Ivan Sergeevich Turgenev,Fiction,55079,https://www.gutenberg.org/ebooks/9911
Quintus Claudius: A Romance of Imperial Rome. Volume 1,Ernst Eckstein,Fiction,54977,https://www.gutenberg.org/ebooks/47221
A Heart-Song of To-day (Disturbed by Fire from the 'Unruly Member'): A Novel,Annie G. Savigny,Fiction,54869,https://www.gutenberg.org/ebooks/7184
"The Entailed Hat; Or, Patty Cannon's Times",George Alfred Townsend,Fiction,54856,https://www.gutenberg.org/ebooks/19146
Just Around the Corner: Romance en casserole,Fannie Hurst,Fiction,54348,https://www.gutenberg.org/ebooks/33118
Blue-grass and Broadway,Maria Thompson Daviess,Fiction,54106,https://www.gutenberg.org/ebooks/29391
Adventures of Huckleberry Finn,Mark Twain,Fiction,54062,https://www.gutenberg.org/ebooks/76
She who sleeps :  A romance of New York and the Nile,Sax Rohmer,Fiction,53766,https://www.gutenberg.org/ebooks/77092
The Great Gatsby,F. Scott Fitzgerald,Fiction,53615,https://www.gutenberg.org/ebooks/64317
Le cas étrange du docteur Jekyll; Un logement pour la nuit (French),Robert Louis Stevenson,Fiction,52999,https://www.gutenberg.org/ebooks/76412
Treasure Island,Robert Louis Stevenson,Fiction,52364,https://www.gutenberg.org/ebooks/120
Wuthering Heights,Emily Brontë,Fiction,52225,https://www.gutenberg.org/ebooks/768
The Enchanted April,Elizabeth Von Arnim,Fiction,49374,https://www.gutenberg.org/ebooks/16389
Peter Pan :  [Peter and Wendy],J. M. Barrie,Fiction,49190,https://www.gutenberg.org/ebooks/16
Cranford,Elizabeth Cleghorn Gaskell,Fiction,46777,https://www.gutenberg.org/ebooks/394
The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,Fiction,46416,https://www.gutenberg.org/ebooks/6761
"History of Tom Jones, a Foundling",Henry Fielding,Fiction,46299,https://www.gutenberg.org/ebooks/6593
The Expedition of Humphry Clinker,T. Smollett,Fiction,45787,https://www.gutenberg.org/ebooks/2160
The Brothers Karamazov,Fyodor Dostoyevsky,Fiction,45621,https://www.gutenberg.org/ebooks/28054
The Adventures of Roderick Random,T. Smollett,Fiction,44952,https://www.gutenberg.org/ebooks/4085
The Man Who Did the Right Thing: A Romance,Harry Johnston,Fiction,44804,https://www.gutenberg.org/ebooks/45451
The Belle of Bowling Green,Amelia E. Barr,Fiction,44606,https://www.gutenberg.org/ebooks/76576
"Barry Locke, half-back",Ralph Henry Barbour,Fiction,44311,https://www.gutenberg.org/ebooks/78118
Helen Vardon's confession,R. Austin Freeman,Fiction,44179,https://www.gutenberg.org/ebooks/76728
The Battle of the Strong: A Romance of Two Kingdoms — Volume 6,Gilbert Parker,Fiction,43893,https://www.gutenberg.org/ebooks/6235
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,Fiction,43374,https://www.gutenberg.org/ebooks/829
Twenty Thousand Leagues under the Sea,Jules Verne,Fiction,43256,https://www.gutenberg.org/ebooks/164
The call of the wild,Jack London,Fiction,43236,https://www.gutenberg.org/ebooks/215
The Jungle Book,Rudyard Kipling,Fiction,43198,https://www.gutenberg.org/ebooks/236
The three musketeers,Alexandre Dumas and Auguste Maquet,Fiction,42876,https://www.gutenberg.org/ebooks/1257
The Life and Adventures of Robinson Crusoe,Daniel Defoe,Fiction,41511,https://www.gutenberg.org/ebooks/521
The Railway Children,E. Nesbit,Fiction,40847,https://www.gutenberg.org/ebooks/1874
The Legend of Sleepy Hollow,Washington Irving,Fiction,40471,https://www.gutenberg.org/ebooks/41
White Fang,Jack London,Fiction,39882,https://www.gutenberg.org/ebooks/910
A princess of Mars,Edgar Rice Burroughs,Fiction,39748,https://www.gutenberg.org/ebooks/62
The Secret Garden,Frances Hodgson Burnett,Fiction,39302,https://www.gutenberg.org/ebooks/113
David Copperfield,Charles Dickens,Fiction,39266,https://www.gutenberg.org/ebooks/766
Supermind,Randall Garrett and Laurence M. Janifer,Fiction,39119,https://www.gutenberg.org/ebooks/22342
Kidnapped,Robert Louis Stevenson,Fiction,39028,https://www.gutenberg.org/ebooks/421
The Red Seal,Natalie Sumner Lincoln,Fiction,38793,https://www.gutenberg.org/ebooks/1747
Daughters of Nijo: A Romance of Japan,Onoto Watanna,Fiction,38770,https://www.gutenberg.org/ebooks/57763
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Jules Verne,Fiction,38751,https://www.gutenberg.org/ebooks/2488
One Wonderful Night: A Romance of New York,Louis Tracy,Fiction,38542,https://www.gutenberg.org/ebooks/19707
"""And That's How It Was, Officer""",Ralph Sholto,Fiction,38455,https://www.gutenberg.org/ebooks/32562
Die Liebe: Novelle (German),Hans Kaltneker,Fiction,38400,https://www.gutenberg.org/ebooks/66452
The Mysterious Island,Jules Verne,Fiction,38121,https://www.gutenberg.org/ebooks/1268
The Prince and the Pauper,Mark Twain,Fiction,38035,https://www.gutenberg.org/ebooks/1837
Tarrano the Conqueror,Ray Cummings,Fiction,37986,https://www.gutenberg.org/ebooks/21638
The Mystery of a Turkish Bath,Rita,Fiction,37985,https://www.gutenberg.org/ebooks/25656
In Jeopardy,Van Tassel Sutphen,Fiction,37967,https://www.gutenberg.org/ebooks/38477
The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,Fiction,37486,https://www.gutenberg.org/ebooks/940
The Lost World,Arthur Conan Doyle,Fiction,37393,https://www.gutenberg.org/ebooks/139
Baron Trump's Marvellous Underground Journey,Ingersoll Lockwood,Fiction,37161,https://www.gutenberg.org/ebooks/57426
A Connecticut Yankee in King Arthur's Court,Mark Twain,Fiction,36916,https://www.gutenberg.org/ebooks/86
The gods of Mars,Edgar Rice Burroughs,Fiction,36225,https://www.gutenberg.org/ebooks/64
The warlord of Mars,Edgar Rice Burroughs,Fiction,35576,https://www.gutenberg.org/ebooks/68
Plague Ship,Andre Norton,Fiction,35513,https://www.gutenberg.org/ebooks/16921
A Tale of Two Cities,Charles Dickens,Fiction,35507,https://www.gutenberg.org/ebooks/98
The Tale of Peter Rabbit,Beatrix Potter,Fiction,35452,https://www.gutenberg.org/ebooks/14838
The Ultimate Weapon,Jr. John W. Campbell,Fiction,35327,https://www.gutenberg.org/ebooks/23790
"The History of Don Quixote, Volume 1, Complete",Miguel de Cervantes Saavedra,Fiction,35171,https://www.gutenberg.org/ebooks/5921
A Journey into the Interior of the Earth,Jules Verne,Fiction,35119,https://www.gutenberg.org/ebooks/3748
The Chessmen of Mars,Edgar Rice Burroughs,Fiction,35106,https://www.gutenberg.org/ebooks/1153
Vingt mille Lieues Sous Les Mers — Complete (French),Jules Verne,Fiction,35034,https://www.gutenberg.org/ebooks/5097
The Hour of the Dragon,Robert E. Howard,Fiction,34923,https://www.gutenberg.org/ebooks/42243
The Land That Time Forgot,Edgar Rice Burroughs,Fiction,34834,https://www.gutenberg.org/ebooks/551
Black Beauty :  The autobiography of a horse,Anna Sewell,Fiction,34606,https://www.gutenberg.org/ebooks/271
"The Works of Edgar Allan Poe, The Raven Edition",Edgar Allan Poe,Fiction,34458,https://www.gutenberg.org/ebooks/25525
Northanger Abbey,Jane Austen,Fiction,34432,https://www.gutenberg.org/ebooks/121
Red Nails,Robert E. Howard,Fiction,34415,https://www.gutenberg.org/ebooks/32759
Off on a Comet! a Journey through Planetary Space,Jules Verne,Fiction,34380,https://www.gutenberg.org/ebooks/1353
The Lost Continent,Edgar Rice Burroughs,Fiction,34337,https://www.gutenberg.org/ebooks/149
Astounding Stories of Super-Science January 1930,Unknown / Various,Fiction,34208,https://www.gutenberg.org/ebooks/41481
Uncle Tom's Cabin,Harriet Beecher Stowe,Fiction,34180,https://www.gutenberg.org/ebooks/203
Shadows in Zamboula,Robert E. Howard,Fiction,33998,https://www.gutenberg.org/ebooks/42196
The Colors of Space,Marion Zimmer Bradley,Fiction,33876,https://www.gutenberg.org/ebooks/20796
Triplanetary,E. E. Smith,Fiction,33853,https://www.gutenberg.org/ebooks/20782
Wanderfoot (The Dream Ship),Cynthia Stockley,Fiction,33806,https://www.gutenberg.org/ebooks/40059
