Title,Author,Genre,Downloads,Book_URL
The Communist Manifesto,Karl Marx and Friedrich Engels,History,9644,https://www.gutenberg.org/ebooks/61
Noli Me Tangere (Tagalog),José Rizal,History,9467,https://www.gutenberg.org/ebooks/20228
The History of the Peloponnesian War,Thucydides,History,9292,https://www.gutenberg.org/ebooks/7142
The Part Borne by the Dutch in the Discovery of Australia 1606-1765,J. E. Heeres,History,9283,https://www.gutenberg.org/ebooks/17450
Democracy in America — Volume 1,Alexis de Tocqueville,History,9132,https://www.gutenberg.org/ebooks/815
Miracle Mongers and Their Methods,Harry Houdini,History,8977,https://www.gutenberg.org/ebooks/435
Rainbow Valley,L. M. Montgomery,History,8883,https://www.gutenberg.org/ebooks/26469
The Spy,James Fenimore Cooper,History,8860,https://www.gutenberg.org/ebooks/26272
Common Sense,Thomas Paine,History,8835,https://www.gutenberg.org/ebooks/147
Cookery and Dining in Imperial Rome,Apicius,History,8736,https://www.gutenberg.org/ebooks/29728
The Governments of Europe,Frederic Austin Ogg,History,8611,https://www.gutenberg.org/ebooks/21006
"A History of the Nineteenth Century, Year by Year. Volume 2 (of 3)",Edwin Emerson,History,8523,https://www.gutenberg.org/ebooks/26901
The Tragical History of Doctor Faustus,Christopher Marlowe,History,8479,https://www.gutenberg.org/ebooks/779
The History of the Decline and Fall of the Roman Empire,Edward Gibbon,History,8210,https://www.gutenberg.org/ebooks/25717
The Philippine Islands,F.R.G.S. John Foreman,History,8018,https://www.gutenberg.org/ebooks/22815
London and the Kingdom - Volume 2,Reginald R. Sharpe,History,7869,https://www.gutenberg.org/ebooks/20990
"The loyalists of America and their times :  from 1620 to 1816, Vol. 1 of 2",Egerton Ryerson,History,7834,https://www.gutenberg.org/ebooks/21012
Fox's Book of Martyrs,John Foxe,History,7733,https://www.gutenberg.org/ebooks/22400
The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,History,7612,https://www.gutenberg.org/ebooks/28808
The Odyssey of Homer,Homer,History,7609,https://www.gutenberg.org/ebooks/1728
Scaramouche: A Romance of the French Revolution,Rafael Sabatini,History,7324,https://www.gutenberg.org/ebooks/28945
"The City of God, Volume I",Saint of Hippo Augustine,History,7316,https://www.gutenberg.org/ebooks/45304
The Writings of Thomas Jefferson,Thomas Jefferson,History,7283,https://www.gutenberg.org/ebooks/21002
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,René Descartes,History,7258,https://www.gutenberg.org/ebooks/59
Anne of the Island,L. M. Montgomery,History,7239,https://www.gutenberg.org/ebooks/20265
"The Philippine Islands, 1493-1898,  Volume 26 of 55, 1636",Unknown / Various,History,7200,https://www.gutenberg.org/ebooks/27127
"Critical and Historical Essays, Volume III (of 3)",Baron Thomas Babington Macaulay Macaulay,History,7151,https://www.gutenberg.org/ebooks/28046
Memoirs of the Court of Queen Elizabeth,Lucy Aikin,History,7124,https://www.gutenberg.org/ebooks/21500
The Long Roll,Mary Johnston,History,7035,https://www.gutenberg.org/ebooks/22066
"The Tribes and Castes of the Central Provinces of India, Volume 2",R. V. Russell,History,7022,https://www.gutenberg.org/ebooks/22010
Nederlandsche Volkskunde (Dutch),Jos. Schrijnen,History,6982,https://www.gutenberg.org/ebooks/22968
中國小說史略 (Chinese),Xun Lu,History,6968,https://www.gutenberg.org/ebooks/25559
An Enquiry Concerning Human Understanding,David Hume,History,6930,https://www.gutenberg.org/ebooks/9662
The Handbook to English Heraldry,Charles Boutell,History,6916,https://www.gutenberg.org/ebooks/23186
The War in the Air; Vol. 1,Sir Walter Alexander Raleigh,History,6887,https://www.gutenberg.org/ebooks/28226
"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume XI, North Carolina Narratives, Part 1",United States. Work Projects Administration,History,6755,https://www.gutenberg.org/ebooks/22976
The History of Herodotus — Volume 1,Herodotus,History,6754,https://www.gutenberg.org/ebooks/2707
"Principles of Political Economy, Vol. 1",Wilhelm Roscher,History,6691,https://www.gutenberg.org/ebooks/27698
Ancient States and Empires,John Lord,History,6669,https://www.gutenberg.org/ebooks/27114
"The History of Don Quixote, Volume 2, Complete",Miguel de Cervantes Saavedra,History,6661,https://www.gutenberg.org/ebooks/5946
"In the forbidden land :  an account of a journey into Tibet, capture by the Tibetan lamas and soldiers, imprisonment, torture and ultimate release",Arnold Henry Savage Landor,History,6610,https://www.gutenberg.org/ebooks/22210
The Critical Period of American History,John Fiske,History,6570,https://www.gutenberg.org/ebooks/27430
紅樓夢 (Chinese),Xueqin Cao,History,6566,https://www.gutenberg.org/ebooks/24264
"Steam, Its Generation and Use",Babcock & Wilcox Company,History,6564,https://www.gutenberg.org/ebooks/22657
Southern Arabia,J. Theodore Bent and Mrs. Theodore Bent,History,6552,https://www.gutenberg.org/ebooks/21569
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Charles Mackay,History,6544,https://www.gutenberg.org/ebooks/24518
A Victor of Salamis,William Stearns Davis,History,6525,https://www.gutenberg.org/ebooks/27587
"Surgical Experiences in South Africa, 1899-1900",George Henry Makins,History,6506,https://www.gutenberg.org/ebooks/21280
"A history of art in Chaldæa & Assyria, Vol. 1 (of 2)",Georges Perrot and Charles Chipiez,History,6446,https://www.gutenberg.org/ebooks/28072
The Frontier in American History,Frederick Jackson Turner,History,6422,https://www.gutenberg.org/ebooks/22994
Home Life in Colonial Days,Alice Morse Earle,History,6380,https://www.gutenberg.org/ebooks/22675
Comic History of the United States,Bill Nye,History,6351,https://www.gutenberg.org/ebooks/21427
The Arabian Nights: Their Best-known Tales,Unknown / Various,History,6312,https://www.gutenberg.org/ebooks/20916
Complete Story of the San Francisco Horror,"Trumbull White, Richard Linthicum, and Samuel Fallows",History,6286,https://www.gutenberg.org/ebooks/26380
"The Life of William Ewart Gladstone, Vol. 1 (of 3)",John Morley,History,6256,https://www.gutenberg.org/ebooks/21091
Sea Power in its Relations to the War of 1812. Volume 2,A. T. Mahan,History,6244,https://www.gutenberg.org/ebooks/25912
Critical and Historical Essays,Edward MacDowell,History,6204,https://www.gutenberg.org/ebooks/16351
The Wandering Jew — Complete,Eugène Sue,History,6200,https://www.gutenberg.org/ebooks/3350
The Deaf,Harry Best,History,6193,https://www.gutenberg.org/ebooks/23320
Folklore as an Historical Science,George Laurence Gomme,History,6113,https://www.gutenberg.org/ebooks/21852
The Jewish State,Theodor Herzl,History,6101,https://www.gutenberg.org/ebooks/25282
Bradford's History of 'Plimoth Plantation',William Bradford,History,6035,https://www.gutenberg.org/ebooks/24950
Royal Palaces and Parks of France,M. F. Mansfield,History,5979,https://www.gutenberg.org/ebooks/25842
Das Bücher-Dekameron (German),Kasimir Edschmid,History,5966,https://www.gutenberg.org/ebooks/48040
"Cités et ruines américaines: Mitla, Palenqué, Izamal, Chichen-Itza, Uxmal (French)",Eugène-Emmanuel Viollet-le-Duc,History,5923,https://www.gutenberg.org/ebooks/25097
Southern Literature From 1579-1895,Louise Manly,History,5918,https://www.gutenberg.org/ebooks/27279
The Life of King Edward VII,J. Castell Hopkins,History,5910,https://www.gutenberg.org/ebooks/25112
Carl Svenske: Historisk berättelse från frihetstiden (Swedish),Gustaf Björlin,History,5884,https://www.gutenberg.org/ebooks/65580
"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",Flavius Josephus,History,5864,https://www.gutenberg.org/ebooks/2850
"Characteristics of Women: Moral, Poetical, and Historical",Mrs. Jameson,History,5856,https://www.gutenberg.org/ebooks/26152
Cattle and Their Diseases,Robert Jennings,History,5815,https://www.gutenberg.org/ebooks/22771
"War and Peace, Book 01: 1805",graf Leo Tolstoy,History,5788,https://www.gutenberg.org/ebooks/28920
Walden,Henry David Thoreau,History,5781,https://www.gutenberg.org/ebooks/26289
"Aurelian; or, Rome in the Third Century",William Ware,History,5752,https://www.gutenberg.org/ebooks/21953
Mexico and Its Religion,Robert Anderson Wilson,History,5742,https://www.gutenberg.org/ebooks/21430
Mathematical Recreations and Essays,W. W. Rouse Ball,History,5698,https://www.gutenberg.org/ebooks/26839
Edmond Dantès,Edmund Flagg,History,5690,https://www.gutenberg.org/ebooks/23183
History of the Negro Race in America from 1619 to 1880. Vol. 2,George Washington Williams,History,5662,https://www.gutenberg.org/ebooks/21851
The Care of Books,John Willis Clark,History,5660,https://www.gutenberg.org/ebooks/26378
The Great Controversy Between Christ and Satan,Ellen Gould Harmon White,History,5650,https://www.gutenberg.org/ebooks/25833
"The History of Rome, Books 01 to 08",Livy,History,5641,https://www.gutenberg.org/ebooks/19725
"Curiosities of Literature, Vol. 1",Isaac Disraeli,History,5640,https://www.gutenberg.org/ebooks/21615
Anne of Avonlea,L. M. Montgomery,History,5626,https://www.gutenberg.org/ebooks/47
Apologia pro vita sua :  being a history of his religious opinions,John Henry Newman,History,5600,https://www.gutenberg.org/ebooks/22088
The Campaign of 1776 around New York and Brooklyn,Henry Phelps Johnston,History,5567,https://www.gutenberg.org/ebooks/21990
"The letters of Queen Victoria, vol. 3, 1854-1861 :  A selection from Her Majesty's correspondence between the years 1837 and 1861.",Queen of Great Britain Victoria,History,5563,https://www.gutenberg.org/ebooks/28649
The Story of the Greeks,H. A. Guerber,History,5504,https://www.gutenberg.org/ebooks/23495
"The Natural History of Pliny, Volume 1 (of 6)",the Elder Pliny,History,5457,https://www.gutenberg.org/ebooks/57493
Psychology of the Unconscious,C. G. Jung,History,5452,https://www.gutenberg.org/ebooks/65903
Sketches New and Old,Mark Twain,History,5384,https://www.gutenberg.org/ebooks/3189
Детство (Russian),graf Leo Tolstoy,History,5379,https://www.gutenberg.org/ebooks/19681
The Declaration of Independence of the United States of America,Thomas Jefferson,History,5378,https://www.gutenberg.org/ebooks/1
Memoirs and Correspondence of Admiral Lord de Saumarez. Vol II,Sir John Ross,History,5373,https://www.gutenberg.org/ebooks/27151
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",Giacomo Casanova,History,5351,https://www.gutenberg.org/ebooks/2981
Sword and Pen,John Algernon Owens,History,5311,https://www.gutenberg.org/ebooks/28152
Manual of Military Training,James A. Moss,History,5310,https://www.gutenberg.org/ebooks/26706
Noli me tangere: Filippijnsche roman (Dutch),José Rizal,History,5284,https://www.gutenberg.org/ebooks/21848
How the Other Half Lives: Studies Among the Tenements of New York,Jacob A. Riis,History,5278,https://www.gutenberg.org/ebooks/45502
Lord Milner's Work in South Africa,W. Basil Worsfold,History,5275,https://www.gutenberg.org/ebooks/26490
Pagan and Christian Rome,Rodolfo Amedeo Lanciani,History,5273,https://www.gutenberg.org/ebooks/22153
Benjamin Franklin,Jr. John T. Morse,History,5258,https://www.gutenberg.org/ebooks/21348
A Sailor of King George,Captain Frederick Hoffman,History,5256,https://www.gutenberg.org/ebooks/27520
The Tapestry Book,Helen Churchill Candee,History,5211,https://www.gutenberg.org/ebooks/26151
"History of the Rise of the Huguenots, Vol. 1",Henry Martyn Baird,History,5206,https://www.gutenberg.org/ebooks/22762
"The conspirators; or, The chevalier d'Harmental",Alexandre Dumas and Auguste Maquet,History,5201,https://www.gutenberg.org/ebooks/27385
Shakespearean Playhouses,Joseph Quincy Adams,History,5195,https://www.gutenberg.org/ebooks/22397
Homer's Odyssey,Denton Jaques Snider,History,5170,https://www.gutenberg.org/ebooks/26275
"India, Its Life and Thought",John P. Jones,History,5166,https://www.gutenberg.org/ebooks/28117
Socialism: A Summary and Interpretation of Socialist Principles,John Spargo,History,5154,https://www.gutenberg.org/ebooks/22733
From October to Brest-Litovsk,Leon Trotsky,History,5135,https://www.gutenberg.org/ebooks/20048
"Création et rédemption, deuxième partie: La fille du marquis (French)",Alexandre Dumas,History,5130,https://www.gutenberg.org/ebooks/26476
"History of circumcision from the earliest times to the present :  Moral and physical reasons for its performance, with a history of eunuchism, hermaphrodism, etc., and of the different operations practiced upon the prepuce",P. C. Remondino,History,5127,https://www.gutenberg.org/ebooks/23135
History of the War in South Africa 1899-1902 v. 1 (of 4),Great Britain. War Office,History,5126,https://www.gutenberg.org/ebooks/28158
The Complete Herbal,Nicholas Culpeper,History,5107,https://www.gutenberg.org/ebooks/49513
The Origin of Species by Means of Natural Selection,Charles Darwin,History,5102,https://www.gutenberg.org/ebooks/2009
The Sun Also Rises,Ernest Hemingway,History,5077,https://www.gutenberg.org/ebooks/67138
Acadia,Frederic S. Cozzens,History,5070,https://www.gutenberg.org/ebooks/23409
The Expedition to Borneo of H.M.S. Dido,Sir Henry Keppel and Rajah of Sarawak James,History,5061,https://www.gutenberg.org/ebooks/22903
Königliche Hoheit: Roman (German),Thomas Mann,History,5046,https://www.gutenberg.org/ebooks/35328
"The Great Events by Famous Historians, Volume 03",Unknown / Various,History,5041,https://www.gutenberg.org/ebooks/25712
"History of Woman Suffrage, Volume III",Unknown / Various,History,5035,https://www.gutenberg.org/ebooks/28556
Politics: A Treatise on Government,Aristotle,History,5022,https://www.gutenberg.org/ebooks/6762
The Legacy of Greece,Unknown / Various,History,5010,https://www.gutenberg.org/ebooks/22259
The Naval History of the United States. Volume 2,Willis J. Abbot,History,4981,https://www.gutenberg.org/ebooks/26416
Ivanhoe: A Romance,Walter Scott,History,4973,https://www.gutenberg.org/ebooks/82
All about coffee,William H. Ukers,History,4965,https://www.gutenberg.org/ebooks/28500
"The Great Events by Famous Historians, Volume 09",Unknown / Various,History,4928,https://www.gutenberg.org/ebooks/26337
The Johnstown Horror!!!,James Herbert Walker,History,4920,https://www.gutenberg.org/ebooks/27669
Memoirs of the Court of George IV. 1820-1830 (Vol 1),Duke of Richard Plantagenet Temple Nugent Brydges Chandos Grenville Buckingham and Chandos,History,4910,https://www.gutenberg.org/ebooks/22553
甌北詩話 (Chinese),Yi Zhao,History,4878,https://www.gutenberg.org/ebooks/25391
An Undivided Union,Oliver Optic and Edward Stratemeyer,History,4878,https://www.gutenberg.org/ebooks/25440
Belgium: From the Roman Invasion to the Present Day,Emile Cammaerts,History,4849,https://www.gutenberg.org/ebooks/27442
The Reckoning,Robert W. Chambers,History,4848,https://www.gutenberg.org/ebooks/25441
Essays — First Series,Ralph Waldo Emerson,History,4841,https://www.gutenberg.org/ebooks/2944
Albert Gallatin,John Austin Stevens,History,4824,https://www.gutenberg.org/ebooks/20873
The Social Cancer: A Complete English Version of Noli Me Tangere,José Rizal,History,4812,https://www.gutenberg.org/ebooks/6737
Impressions of South Africa,Viscount James Bryce Bryce,History,4801,https://www.gutenberg.org/ebooks/22323
Contemporary American Composers,Rupert Hughes,History,4800,https://www.gutenberg.org/ebooks/23800
Colleges in America,John Marshall Barker,History,4798,https://www.gutenberg.org/ebooks/25400
The Prairie Traveler: A Hand-book for Overland Expeditions,Randolph B. Marcy,History,4797,https://www.gutenberg.org/ebooks/23066
A Selection from the Discourses of Epictetus with the Encheiridion,Epictetus,History,4793,https://www.gutenberg.org/ebooks/10661
Sea Power in its Relations to the War of 1812. Volume 1,A. T. Mahan,History,4786,https://www.gutenberg.org/ebooks/25911
The Red True Story Book,Unknown / Various,History,4781,https://www.gutenberg.org/ebooks/27603
The University of Michigan,Wilfred Byron Shaw,History,4765,https://www.gutenberg.org/ebooks/21532
The Story of Paris,Thomas Okey,History,4757,https://www.gutenberg.org/ebooks/26450
The Philippines a Century Hence,José Rizal,History,4753,https://www.gutenberg.org/ebooks/35899
Perpetual Peace: A Philosophical Essay,Immanuel Kant,History,4751,https://www.gutenberg.org/ebooks/50922
The Choctaw Freedmen and the Story of Oak Hill Industrial Academy,Robert Elliott Flickinger,History,4724,https://www.gutenberg.org/ebooks/23321
Geschichte Alexanders des Grossen (German),Johann Gustav Droysen,History,4721,https://www.gutenberg.org/ebooks/23756
The Promised Land,Mary Antin,History,4707,https://www.gutenberg.org/ebooks/20885
The Religious Experience of the Roman People,W. Warde Fowler,History,4691,https://www.gutenberg.org/ebooks/23349
"A History of Art for Beginners and Students: Painting, Sculpture, Architecture",Clara Erskine Clement Waters,History,4685,https://www.gutenberg.org/ebooks/25632
Masterpieces of Negro Eloquence,Unknown / Various,History,4668,https://www.gutenberg.org/ebooks/22240
The Oriental Religions in Roman Paganism,Franz Cumont,History,4652,https://www.gutenberg.org/ebooks/22213
Jeremiah : Being The Baird Lecture for 1922,George Adam Smith,History,4619,https://www.gutenberg.org/ebooks/27351
The Huguenots in France,Samuel Smiles,History,4616,https://www.gutenberg.org/ebooks/26524
Jewish Literature and Other Essays,Gustav Karpeles,History,4611,https://www.gutenberg.org/ebooks/27901
"The Influence of Sea Power Upon History, 1660-1783",A. T. Mahan,History,4578,https://www.gutenberg.org/ebooks/13529
Myths of the Cherokee,James Mooney,History,4569,https://www.gutenberg.org/ebooks/45634
Memoirs of the Jacobites of 1715 and 1745. Volume I.,Mrs. A. T. Thomson,History,4567,https://www.gutenberg.org/ebooks/20946
"A Literary History of the English People, from the Origins to the Renaissance",J. J. Jusserand,History,4548,https://www.gutenberg.org/ebooks/22049
"The Best of the World's Classics,  Restricted to prose. Volume I (of X) - Greece",Unknown / Various,History,4544,https://www.gutenberg.org/ebooks/20907
"Famous Sea Fights, from Salamis to Tsu-Shima",A. Hilliard Atteridge,History,4523,https://www.gutenberg.org/ebooks/25088
"Delineations of the Ox Tribe: The Natural History of Bulls, Bisons, and Buffaloes.",George Vasey,History,4490,https://www.gutenberg.org/ebooks/27975
Os deputados brasileiros nas Côrtes Geraes de 1821 (Portuguese),Manuel Emílio Gomes de Carvalho,History,4487,https://www.gutenberg.org/ebooks/24824
Democracy in America — Volume 2,Alexis de Tocqueville,History,4478,https://www.gutenberg.org/ebooks/816
Portugal e Brazil: emigração e colonisação (Portuguese),D. A. Gomes Pércheiro,History,4471,https://www.gutenberg.org/ebooks/27964
"Cathedrals and Cloisters of the South of France, Volume 1",Elise Whitlock Rose,History,4464,https://www.gutenberg.org/ebooks/22718
"Memoirs and Correspondence of Admiral Lord de Saumarez, Vol. I",Sir John Ross,History,4463,https://www.gutenberg.org/ebooks/26031
When Winter Comes to Main Street,Grant M. Overton,History,4448,https://www.gutenberg.org/ebooks/27116
The Two Great Retreats of History,George Grote and comte de Philippe-Paul Ségur,History,4435,https://www.gutenberg.org/ebooks/26390
A Complete Guide to Heraldry,Arthur Charles Fox-Davies,History,4434,https://www.gutenberg.org/ebooks/41617
Union and Democracy,Allen Johnson,History,4408,https://www.gutenberg.org/ebooks/22461
Two Years with the Natives in the Western Pacific,Felix Speiser,History,4408,https://www.gutenberg.org/ebooks/27578
The Varmint,Owen Johnson,History,4403,https://www.gutenberg.org/ebooks/25272
Daniel Boone: The Pioneer of Kentucky,John S. C. Abbott,History,4397,https://www.gutenberg.org/ebooks/23798
The Evolution of Modern Capitalism: A Study of Machine Production,J. A. Hobson,History,4390,https://www.gutenberg.org/ebooks/28284
The Story of the Heavens,Robert S. Ball,History,4382,https://www.gutenberg.org/ebooks/27378
"Evolution, Old & New",Samuel Butler,History,4381,https://www.gutenberg.org/ebooks/23427
The Last of the Mohicans: A Narrative of 1757,James Fenimore Cooper,History,4370,https://www.gutenberg.org/ebooks/27681
"The Birth of Yugoslavia, Volume 2",Henry Baerlein,History,4367,https://www.gutenberg.org/ebooks/24781
India and the Indians,Edward Fenton Elwin,History,4366,https://www.gutenberg.org/ebooks/27886
The Clansman: An Historical Romance of the Ku Klux Klan,Jr. Thomas Dixon,History,4363,https://www.gutenberg.org/ebooks/26240
"History of the English People, Volume V",John Richard Green,History,4359,https://www.gutenberg.org/ebooks/23642
The Book of the National Parks,Robert Sterling Yard,History,4346,https://www.gutenberg.org/ebooks/27513
"Doctrina Christiana (Spanish) (Tagalog)",Unknown / Various,History,4341,https://www.gutenberg.org/ebooks/16119
"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.",Friedrich Wilhelm Nietzsche,History,4341,https://www.gutenberg.org/ebooks/25012
Fenimore Cooper's Literary Offences,Mark Twain,History,4318,https://www.gutenberg.org/ebooks/3172
"Three years in the Sixth Corps :  A concise narrative of events in the Army of the Potomac, from 1861 to the close of the rebellion, April, 1865",George T. Stevens,History,4304,https://www.gutenberg.org/ebooks/21976
My Mark Twain,William Dean Howells,History,4303,https://www.gutenberg.org/ebooks/22450
By Conduct and Courage: A Story of the Days of Nelson,G. A. Henty,History,4302,https://www.gutenberg.org/ebooks/28357
"Historia de la literatura y del arte dramático en España, tomo II (Spanish)",Adolf Friedrich von Schack,History,4301,https://www.gutenberg.org/ebooks/25988
"The Life of George Washington, Vol. 1",John Marshall,History,4298,https://www.gutenberg.org/ebooks/18591
My Studio Neighbors,W. Hamilton Gibson,History,4291,https://www.gutenberg.org/ebooks/22165
The Blue Fairy Book,Andrew Lang,History,4285,https://www.gutenberg.org/ebooks/503
The Chronicles of a Gay Gordon,J. M. Gordon,History,4278,https://www.gutenberg.org/ebooks/27362
A Vindication of the Rights of Woman,Mary Wollstonecraft,History,4274,https://www.gutenberg.org/ebooks/26590
Studies in Literature and History,Sir Alfred C. Lyall,History,4269,https://www.gutenberg.org/ebooks/25937
"Campaigns of a Non-Combatant, and His Romaunt Abroad During the War",George Alfred Townsend,History,4265,https://www.gutenberg.org/ebooks/23340
An African Adventure,Isaac Frederick Marcosson,History,4258,https://www.gutenberg.org/ebooks/25569
Notre-Dame de Paris - Tome 1 (French),Victor Hugo,History,4254,https://www.gutenberg.org/ebooks/70891
Histoire de France 1724-1759 (Volume 18/19) (French),Jules Michelet,History,4250,https://www.gutenberg.org/ebooks/26859
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 03 (of 10)",Giorgio Vasari,History,4248,https://www.gutenberg.org/ebooks/26860
Bede's Ecclesiastical History of England,Saint the Venerable Bede,History,4227,https://www.gutenberg.org/ebooks/38326
"Impressions of America During the Years 1833, 1834 and 1835. Volume 2 (of 2)",Tyrone Power,History,4224,https://www.gutenberg.org/ebooks/23284
Change in the Village,George Sturt,History,4222,https://www.gutenberg.org/ebooks/27518
Napoleon (Dutch),Herman Théodore Chappuis,History,4219,https://www.gutenberg.org/ebooks/27883
The Flourishing of Romance and the Rise of Allegory,George Saintsbury,History,4196,https://www.gutenberg.org/ebooks/21600
L'art roman dans le Sud-Manche: Album (French),Marie Lebert,History,4194,https://www.gutenberg.org/ebooks/33250
三國志演義 (Chinese),Guanzhong Luo,History,4187,https://www.gutenberg.org/ebooks/23950
The Sceptical Chymist,Robert Boyle,History,4184,https://www.gutenberg.org/ebooks/22914
The Outline of History: Being a Plain History of Life and Mankind,H. G. Wells,History,4184,https://www.gutenberg.org/ebooks/45368
Babylonians and Assyrians :  Life and customs,A. H. Sayce,History,4167,https://www.gutenberg.org/ebooks/25080
"Mémoires de Hector Berlioz (French)",Hector Berlioz,History,4159,https://www.gutenberg.org/ebooks/26370
"The Roman Traitor, Vol. 1",Henry William Herbert,History,4157,https://www.gutenberg.org/ebooks/25092
"Heimskringla; Or, The Chronicle of the Kings of Norway",Snorri Sturluson,History,4156,https://www.gutenberg.org/ebooks/598
Romance of Roman Villas (The Renaissance),Elizabeth W. Champney,History,4149,https://www.gutenberg.org/ebooks/27766
"Beatrice d'Este, Duchess of Milan, 1475-1497",Julia Cartwright,History,4136,https://www.gutenberg.org/ebooks/25622
"Thomas Davis, selections from his prose and poetry",Thomas Davis,History,4131,https://www.gutenberg.org/ebooks/21210
Standish of Standish: A Story of the Pilgrims,Jane G. Austin,History,4123,https://www.gutenberg.org/ebooks/22052
"Pilgrimage from the Alps to the Tiber :  or, The influence of Romanism on trade, justice, and knowledge",J. A. Wylie,History,4099,https://www.gutenberg.org/ebooks/28294
"Critical, Historical, and Miscellaneous Essays; Vol. 1",Baron Thomas Babington Macaulay Macaulay,History,4096,https://www.gutenberg.org/ebooks/55901
"The Writings of James Russell Lowell in Prose and Poetry, Volume V",James Russell Lowell,History,4087,https://www.gutenberg.org/ebooks/22609
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 02 (of 10)",Giorgio Vasari,History,4083,https://www.gutenberg.org/ebooks/25759
池北偶談 (Chinese),Shizhen Wang,History,4071,https://www.gutenberg.org/ebooks/25162
An Occurrence at Owl Creek Bridge,Ambrose Bierce,History,4054,https://www.gutenberg.org/ebooks/375
"Thrilling Narratives of Mutiny, Murder and Piracy",Anonymous,History,4054,https://www.gutenberg.org/ebooks/25982
History of the Comstock Patent Medicine Business and Dr. Morse's Indian Root Pills,Robert B. Shaw,History,4052,https://www.gutenberg.org/ebooks/13397
Ancient law :  its connection to the history of early society,Sir Henry Sumner Maine,History,4046,https://www.gutenberg.org/ebooks/22910
"Royal Edinburgh: Her Saints, Kings, Prophets and Poets",Mrs. Oliphant,History,4045,https://www.gutenberg.org/ebooks/25701
Aspects of the novel,E. M. Forster,History,4040,https://www.gutenberg.org/ebooks/70492
My Reminiscences of the Anglo-Boer War,Ben J. Viljoen,History,4035,https://www.gutenberg.org/ebooks/25049
"Experiences of a Dug-out, 1914-1918",Sir C. E. Callwell,History,4029,https://www.gutenberg.org/ebooks/21833
The Children's Book of London,G. E. Mitton,History,4024,https://www.gutenberg.org/ebooks/25804
Red-tape and pigeon-hole generals :  as seen from the ranks during a campaign in the Army of the Potomac,"William Hepburn Armstrong, Henry Morford, and Jacob G. Frick",History,4019,https://www.gutenberg.org/ebooks/23565
"Impressions of America During the Years 1833, 1834 and 1835. Volume 1 (of 2)",Tyrone Power,History,4006,https://www.gutenberg.org/ebooks/22796
"Lincoln's Birthday :  a comprehensive view of Lincoln as given in the most noteworthy essays, orations and poems, in fiction and in Lincoln's own writings",Unknown / Various,History,4001,https://www.gutenberg.org/ebooks/21267
"Plutarch's Lives, Volume 1 (of 4)",Plutarch,History,3962,https://www.gutenberg.org/ebooks/14033
"The History of England, from the Accession of",Baron Thomas Babington Macaulay Macaulay,History,3958,https://www.gutenberg.org/ebooks/20275
Discourses on the First Decade of Titus Livius,Niccolò Machiavelli,History,3957,https://www.gutenberg.org/ebooks/10827
Little Men,Louisa May Alcott,History,3956,https://www.gutenberg.org/ebooks/22787
"The English Utilitarians, Volume 2 (of 3)",Leslie Stephen,History,3936,https://www.gutenberg.org/ebooks/25788
Richard I,Jacob Abbott,History,3921,https://www.gutenberg.org/ebooks/26939
"The Life of George Washington, Vol. 2",John Marshall,History,3918,https://www.gutenberg.org/ebooks/18592
The Red Record,Ida B. Wells-Barnett,History,3914,https://www.gutenberg.org/ebooks/14977
Experiments and Considerations Touching Colours (1664),Robert Boyle,History,3913,https://www.gutenberg.org/ebooks/14504
"The Great Events by Famous Historians, Volume 11",Unknown / Various,History,3911,https://www.gutenberg.org/ebooks/25821
"Little Journeys to the Homes of the Great, Volume 7",Elbert Hubbard,History,3898,https://www.gutenberg.org/ebooks/23761
"Old Fort Snelling, 1819-1858",Marcus Lee Hansen,History,3891,https://www.gutenberg.org/ebooks/22719
Coronation Anecdotes,Giles Gossip,History,3887,https://www.gutenberg.org/ebooks/27589
"A Little Girl of Long Ago; Or, Hannah Ann",Amanda M. Douglas,History,3876,https://www.gutenberg.org/ebooks/23781
Fifteen Chapters of Autobiography,George William Erskine Russell,History,3874,https://www.gutenberg.org/ebooks/21624
The Travels of Marco Polo — Volume 2,Marco Polo and da Pisa Rusticiano,History,3861,https://www.gutenberg.org/ebooks/12410
Forty-Five Years of Digitizing Ebooks: Project Gutenberg's Practices,Gregory B. Newby,History,3861,https://www.gutenberg.org/ebooks/60600
Famous Privateersmen and Adventurers of the Sea,Charles H. L. Johnston,History,3858,https://www.gutenberg.org/ebooks/26960
"Captain Canot; Or, Twenty Years of an African Slaver",Brantz Mayer and Theodore Canot,History,3851,https://www.gutenberg.org/ebooks/23034
Three Thousand Years of Mental Healing,George Barton Cutten,History,3844,https://www.gutenberg.org/ebooks/23101
Principles of Political Economy,John Stuart Mill,History,3844,https://www.gutenberg.org/ebooks/30107
A New Guide for Emigrants to the West,John Mason Peck,History,3839,https://www.gutenberg.org/ebooks/27394
